Syscall,Sentence,FirstLine,Synonym,SynonymSentence,Obj_type
pwrite64(),read from or write to a file descriptor at a given offset,"<write,a file descriptor at a given offset>","<,>",,FILE
fsync(),synchronize a file's in-core state with storage device,"<synchronize,a file's in-core state with storage device>","<,>",,FILE
userfaultfd(),create a file descriptor for handling page faults in user space,"<create,a file descriptor for handling page faults in user space>","<create,a new userfaultfd object>",userfaultfd() creates a new userfaultfd object,FILE
fanotify_init(),create and initialize fanotify group,"<create,fanotify group>","<,>",,FILE
fanotify_init(),create and initialize fanotify group,"<initialize,fanotify group>","<,>",,FILE
syncfs(),commit filesystem caches to disk,"<commit,filesystem caches to disk>","<,>",,FILE
sgetmask(),manipulation of signal mask (obsolete),"<manipulate,mask>","<,>",,PROC
ssetmask(),manipulation of signal mask (obsolete),"<manipulate,mask>","<set,mask>",sets the signal mask of the calling process,PROC
get_thread_area(),manipulate thread-local storage information,"<manipulate,storage information>","<store,pointer>",allows storing an arbitrary pointe,MEM
mount(),mount filesystem,"<mount,filesystem>","<attach,filesystem>",attaches the filesystem specified by source,FILE
fadvise64(),predeclare an access pattern for file data,"<predeclare,access pattern for file>","<access,file>",access file data in a specific pattern,FILE
fadvise64_64(),predeclare an access pattern for file data,"<predeclare,access pattern for file>","<access,file>",access file data in a specific pattern,FILE
umount(),unmount filesystem,"<unmount,filesystem>","<remove,attachment>",remove the attachment of the filesystem,FILE
umount2(),unmount filesystem,"<unmount,filesystem>","<remove,attachment>",remove the attachment of the filesystem,FILE
pselect6(),synchronous I/O multiplexing,"<multiplex,I/O>","<monitor,file descriptor>",monitor only file descriptors,FILE
select(),synchronous I/O multiplexing,"<multiplex,I/O>","<monitor,file descriptor>",monitor only file descriptors,FILE
_newselect(),synchronous I/O multiplexing,"<multiplex,I/O>","<monitor,file descriptor>",monitor only file descriptors,FILE
epoll_ctl(),control interface for an epoll file descriptor,"<control,interface>","<add,entries>|<change,settings>|<remove,file descriptor>",Add an entry to the interest list|Change the settings|Remove the target file descriptor,FILE
clock_settime(),clock and time functions,"<set,time>","<retrieve,time>",retrieve and set the time of the specified clock clockid.,TIME
clock_gettime(),clock and time functions,"<get,time>","<set,time>",retrieve and set the time of the specified clock clockid.,TIME
clock_nanosleep(),high-resolution sleep with specifiable clock,"<sleep,>","<suspend,execution>",suspends the execution of the calling thread,TIME
msgrcv(),System V message queue operations,"<operate,message queue>","<send,messages>",send messages to a System V message queue.,NET
msgsnd(),System V message queue operations,"<operate,message queue>","<receive,messages>",receive messages from a System V message queue.,NET
rt_sigqueueinfo(),queue a signal and data,"<queue,signal>","<send,signal>",send a signal plus data to a process or thread.,PROC
rt_tgsigqueueinfo(),queue a signal and data,"<queue,signal>","<send,signal>",send a signal plus data to a process or thread.,PROC
nice(),change process priority,"<change,process priority>","<,>",,PROC
fallocate(),manipulate file space,"<manipulate,file>","<,>",,FILE
splice(),splice data to/from a pipe,"<splice,data>","<move,data>",moves data between two file descriptors without copying between kernel address space and user address space.,FILE
lchmod(),change mode of file,"<change,mode of file>","<,>",,FILE
remove(),remove a file or directory,"<remove,file or directory>","<delete,name>",deletes a name from the filesystem.,FILE
ftime(),return date and time,"<return,date and time>","<,>",,TIME
ulimit(),get and set user limits,"<get,user limits>","<,>",,RESOURCE_BYTE
ulimit(),get and set user limits,"<set,user limits>","<,>",,RESOURCE_BYTE
profil(),execution time profile,"<execute,time profile>","<find out,areas>",find out in what areas your program spends most of its time.,MEM
reboot(),reboot or enable/disable Ctrl-Alt-Del,"<reboot,>","<,>",,PROC
reboot(),reboot or enable/disable Ctrl-Alt-Del,"<enable,>","<,>",,PROC
reboot(),reboot or enable/disable Ctrl-Alt-Del,"<disable,>","<,>",,PROC
adjtimex(),tune kernel clock,"<tune,clock>","<,>",,TIME
clock_adjtime(),tune kernel clock,"<tune,clock>","<,>",,TIME
clock_getres(),clock and time functions,"<get,resolution>","<,>",,TIME
membarrier(),issue memory barriers on a set of threads,"<issue,memory barriers>","<,>",,MEM
prctl(),operations on a process or thread,"<operate,process or thread>","<,>",,PROC
syscall(),indirect system call,"<invoke,system call>","<,>",,PROC
socketcall(),socket system calls,"<provide,socket>","<,>",,NET
semtimedop(),System V semaphore operations,"<operate,>","<perform,semaphores>",performs operations on selected semaphores in the set indicated by semid.,TIME
semop(),System V semaphore operations,"<operate,>","<perform,semaphores>",performs operations on selected semaphores in the set indicated by semid.,ID
signal(),ANSI C signal handling,"<handle,signal>","<,>",,PROC
cacheflush(),flush contents of instruction and/or data cache,"<flush,contents of instruction>","<,>",,MEM
vmsplice(),splice user pages to/from a pipe,"<splice,user pages>","<,>",,FILE
nfsservctl(),syscall interface to kernel nfs daemon,"<provide,interface>","<,>",,PROC
msgctl(),System V message control operations,"<control,operation>","<,>",,NET
semctl(),System V semaphore control operations,"<control,operation>","<,>",,ID
vhangup(),virtually hangup the current terminal,"<hangup,current terminal>","<arrange,user>",arranges for other users to have a ?�clean??terminal at login time.,PROC
read(),read from a file descriptor,"<read,file descriptor>","<seek,file>",On files that support seeking,FILE
readlink(),read value of a symbolic link,"<read,symbolic link>","<place,contents>|<truncate,contents>",readlink() places the contents of the symbolic link path in the buffer buf|It will (silently) truncate the contents,FILE
access(),check user's permissions for a file,"<check,user permissions>","<access,file>",access() checks whether the calling process can access the file pathname.,FILE
statfs(),get file system statistics,"<get,file system statistics>","<,>",,FILE
stat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname,FILE
stat64(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname,FILE
fstat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname,FILE
newfstatat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname,FILE
lstat(),get file status,"<get,file status>","<retrieve, information>",retrieve information about the file pointed to by pathname,FILE
getcwd(),get current working directory,"<get,current working directory>","<,>",,FILE
getdents(),get directory entries,"<get,directory entries>","<,>",,FILE
poll(),wait for some event on a file descriptor,"<wait for,event>","<monitor,file descriptor>|<block,file descriptor>",The set of file descriptors to be monitored is specified in the fds argument|should block waiting for a file descriptor to become ready,FILE
ppoll(),wait for some event on a file descriptor,"<wait for,event>","<monitor,file descriptor>|<block,file descriptor>",The set of file descriptors to be monitored is specified in the fds argument|should block waiting for a file descriptor to become ready,FILE
dup(),duplicate a file descriptor,"<duplicate, file descriptor>","<allocate, file descriptor>|<create,a copy>|<share,file offset and file status flags>",allocates a new file descriptor|These system calls create a copy of the file descriptor oldfd|share file offset and file status flags,FILE
dup2(),duplicate a file descriptor,"<duplicate, file descriptor>","<allocate, file descriptor>|<create,a copy>|<share,file offset and file status flags>",allocates a new file descriptor|These system calls create a copy of the file descriptor oldfd|share file offset and file status flags,FILE
fcntl(),manipulate file descriptor,"<manipulate,file descriptor>","<find,file descriptor>|<get,file descriptor>|<set,lock>",find the lowest numbered available file descriptor|get a new file descriptor or the file status flags|set or clear a file segment lock,FILE
fcntl64(),manipulate file descriptor,"<manipulate,file descriptor>","<find,file descriptor>|<get,file descriptor>|<set,lock>",find the lowest numbered available file descriptor|get a new file descriptor or the file status flags|set or clear a file segment lock,FILE
mkdir(),create a directory,"<create,directory>","<,>",,FILE
open(),open and possibly create a file or device,"<open,file or device>","<,>",,FILE
open(),open and possibly create a file or device,"<create,file or device>","<,>",,FILE
openat(),open a file relative to a directory file descriptor,"<open,file>","<,>",,FILE
mmap(),map or unmap files or devices into memory,"<map,files or devices into memory>","<create,new mapping>",creates a new mapping in the virtual address space of the calling process.,FILE
mmap(),map or unmap files or devices into memory,"<unmap,files or devices into memory>","<create,new mapping>",creates a new mapping in the virtual address space of the calling process.,FILE
mmap2(),map files or devices into memory,"<map,files or devices>","<,>",,FILE
umask(),set file mode creation mask,"<set,mask>","<,>",,PERMISSION
link(),make a new name for a file,"<make,new name>","<create,new link>",creates a new link (also known as a hard link) to an existing file.,FILE
linkat(),create a file link relative to directory file descriptors,"<create,file link>","<,>",,FILE
symlinkat(),create a symbolic link relative to a directory file descriptor,"<create,symbolic link>","<,>",,FILE
symlink(),make a new name for a file,"<make,new name>","<create,symbolic link>",creates a symbolic link named newpath which contains the string oldpath.,FILE
fchdir(),change working directory,"<change,working directory>","<,>",,FILE
chdir(),changes the current working directory,"<change,current working directory>","<,>",,FILE
write(),write to a file descriptor,"<write,file descriptor>","<,>",,FILE
rename(),change the name or location of a file,"<change,name or location>","<rename,file>","renames a file, moving it between directories if required.",FILE
fchmod(),change permissions of a file,"<change,permissions of file>","<,>",,FILE
chmod(),change permissions of a file,"<change,permissions of file>","<,>",,FILE
lchmod(),change permissions of a file,"<change,permissions of file>","<,>",,FILE
rm(),removes each specified file,"<remove,file>","<,>",,FILE
rmdir(),delete a directory,"<delete,directory>","<,>",,FILE
munmap(),unmap files or devices into memory,"<unmap,files or devices>","<,>",,MEM
unlink(),delete a name and possibly the file it refers to,"<delete,file>","<,>",,FILE
unlinkat(),remove a directory entry relative to a directory file descriptor,"<remove,directory\>","<,>",,FILE
remove(),remove a file or directory,"<remove,file or directory>","<,>",,FILE
close(),close a file descriptor,"<close,file descriptor>","<free,resources>",the resources associated with the open file description are freed,FILE
lseek(),reposition read/write file offset,"<reposition,file offset>","<,>",,FILE
execve(),execute program,"<execute,program>","<,>",,PROC
exec(),executes the program referred to by pathname,"<execute,program>","<replace,process image>",replaces the current process image with a new process image.,PROC
clone(),create a child process,"<create,child process>","<,>",,PROC
fork(),create a child process,"<create,child process>","<,>",,PROC
vfork(),create a child process and block parent,"<create,child process>","<,>",,PROC
vfork(),create a child process and block parent,"<block,parent>","<,>",,PROC
kill(),send signal to a process,"<send signal,process>","<,>",,PROC
exit_group(),exit all threads in a process,"<exit,all threads in a process>","<,>",,EXIT_STATUS
ptrace(),process trace,"<trace,process>","<observe,execution of another process>|<control,execution of another process>|<examine,memory and registers.>|<change,memory and registers.>","provides a means by which one process (the ""tracer"") may observe and control the execution of another process|provides a means by which one process (the ""tracer"") may observe and control the execution of another process|examine and change the tracee's memory and registers.|examine and change the tracee's memory and registers.",PROC
shmdt(),XSI shared memory detach operation,"<detach,shared memory>","<,>",,MEM
shmat(),XSI shared memory attach operation,"<attach,shared memory>","<,>",,ID
shmget(),allocates a System V shared memory segment,"<allocate,shared memory>","<,>",,MEM
waitpid(),wait for a child process to stop or terminate,"<wait for,process>","<,>",,PROC
wait4(),"wait for process to change state, BSD style","<wait for,process>","<,>",,PROC
mremap(),remap a virtual memory address,"<remap,memory>","<expand,memory>",expands an existing memory mapping,MEM
mprotect(),set protection on a region of memory,"<set,region of memory>","<,>",,MEM
set_tid_address(),set pointer to thread ID,"<set,pointer to thread ID>","<,>",,MEM
arch_prctl(),set architecture-specific thread state,"<set,thread state>","<,>",,MEM
set_thread_area(),set a thread local storage (TLS) area,"<set,thread local storage area>","<,>",,MEM
nanosleep(),high-resolution sleep,"<sleep,>","<suspend,execution>",suspends the execution,TIME
set_robust_list(),set list of robust futexes,"<set,futexes>","<,>",,MEM
futex(),fast user-space locking,"<lock,>","<wait,condition>|<wake,processes or threads>",waiting until a certain condition becomes true|can be used to wake any processes or threads,MEM
brk(),change the location of the program break,"<change,the location of the program break>","<set,end of data segment>",sets the end of the data segment to the value,MEM
ioctl(),control device,"<control,device>","<manipulate,device parameters>",manipulates the underlying device parameters of special files.,FILE
setsid(),creates a session and sets the process group ID,"<set,process group ID>","<,>",,ID
setsid(),creates a session and sets the process group ID,"<create,session>","<,>",,ID
getppid(),get process identification,"<get,process identification>","<,>",,ID
getpid(),get process identification,"<get,process identification>","<,>",,ID
getgid(),get group identity,"<get,group identity>","<,>",,ID
getegid(),get group identity,"<get,group identity>","<,>",,ID
geteuid(),get user identity,"<get,user identity>","<,>",,ID
getuid(),get user identity,"<get,user identity>","<,>",,ID
settimeofday(),get / set time,"<set,time>","<,>",,TIME
time(),get time in seconds,"<get,time>","<,>",,TIME
gettimeofday(),get / set time,"<get,time>","<,>",,TIME
prlimit64(),get/set resource limits,"<get,resource limits>","<,>",,RESOURCE_BYTE
getrlimit(),get/set resource limits,"<get,resource limits>","<,>",,RESOURCE_BYTE
ugetrlimit(),get/set resource limits,"<get,resource limits>","<,>",,RESOURCE_BYTE
sysinfo(),return system information,"<return,system statistics>","<,>",,PROC
uname(),get name and information about current kernel,"<get,name and information about current kernel>","<,>",,PROC
connect(),initiate a connection on a socket,"<initiate,connection on a socket>","<connect,socket>",connects the socket,NET
pipe(),create pipe,"<create,pipe>","<,>",,FILE
bind(),bind a name to a socket,"<bind,name to socket>","<assign,address>",assigns the address specified by addr to the socket,NET
socket(),create an endpoint for communication,"<create,endpoint for communication>","<,>",,NET
setsockopt(),get and set options on sockets,"<set,options on sockets>","<manipulate,options>",manipulate options for the socket,NET
getsockopt(),get and set options on sockets,"<get,options on sockets>","<manipulate,options>",manipulate options for the socket,NET
getsockname(),get socket name,"<get,socket name>","<,>",,NET
recv(),receive a message from a socket,"<receive,message from socket>","<,>",,NET
recvmsg(),receive a message from a socket,"<receive,message from socket>","<,>",,NET
recvfrom(),receive a message from a socket,"<receive,message from socket>","<,>",,NET
send(),send a message on a socket,"<send,message on socket>","<,>",,NET
sendto(),send a message on a socket,"<send,message on socket>","<,>",,NET
sendmsg(),send a message on a socket,"<send,message on socket>","<,>",,NET
quotactl(),manipulate disk quotas,"<manipulate,disk quotas>","<,>",,FILE
